,m,R,|R|
588,,F₈ × F₈ × F₃,192
589,,F₁₆ × F₇₉,1264
590,,F₆₄ × F₃₁,1984
591,95,F₃₂ × F₆₄,2048
592,,F₆₄ × F₃₂,2048
593,,F₂₅ × F₇₁,1775
594,,F₇ × F₈₉,623
595,,F₄₉ × F₄₇,2303
596,,F₁₃ × F₈₃,1079
597,,F₁₇ × F₇₉,1343
598,,F₂₃ × F₇₃,1679
599,,F₂₉ × F₆₇,1943
600,,F₃₇ × F₅₉,2183
601,,F₄₃ × F₅₃,2279
602,96,F₂ × F₄ × F₃ × F₅,120
603,,F₄ × F₂ × F₃ × F₅,120
604,,F₈ × F₈₉,712
605,,F₁₆ × F₈₁,1296
606,97,F₂ × F₂ × F₃₂,128
607,,F₂ × F₃₂ × F₂,128
608,,F₃₂ × F₂ × F₂,128
609,,F₉ × F₅ × F₅,225
610,,F₉ × F₈₉,801
611,,F₂₇ × F₇₁,1917
612,,F₈₁ × F₁₇,1377
613,,F₂₅ × F₇₃,1825
614,,F₄₉ × F₄₉,2401
615,,F₁₉ × F₇₉,1501
616,,F₃₁ × F₆₇,2077
617,,F₃₇ × F₆₁,2257
618,98,F₂ × F₄ × F₁₉,152
619,,F₂ × F₉ × F₉,162
620,,F₂ × F₉₇,194
621,,F₄ × F₂ × F₁₉,152
622,,F₄ × F₈ × F₇,224
623,,F₈ × F₄ × F₇,224
624,,F₁₆ × F₈₃,1328
625,,F₃₂ × F₆₇,2144
626,99,F₃ × F₃ × F₁₉,171
627,,F₃ × F₅ × F₁₃,195
628,,F₃ × F₉₇,291
629,,F₂₇ × F₇₃,1971
630,,F₈₁ × F₁₉,1539
631,,F₁₁ × F₈₉,979
632,,F₁₇ × F₈₃,1411
633,,F₂₉ × F₇₁,2059
634,,F₄₁ × F₅₉,2419
635,,F₄₇ × F₅₃,2491
636,100,F₂ × F₂ × F₃ × F₃ × F₃,108
637,,F₂ × F₁₆ × F₅,160
638,,F₄ × F₄ × F₁₃,208
639,,F₄ × F₅ × F₁₁,220
640,,F₄ × F₉₇,388
641,,F₁₆ × F₂ × F₅,160
642,,F₆₄ × F₃₇,2368
